id,timestamp,latency_ms
622,1743557540.9105587,1.067
623,1743557541.0148757,1.518
624,1743557541.118487,0.789
625,1743557541.2231777,1.582
626,1743557541.3275342,1.554
627,1743557541.4314928,1.534
628,1743557541.53592,1.678
629,1743557541.6406517,1.892
630,1743557541.744143,1.26
631,1743557541.8485832,1.276
632,1743557541.9528143,1.561
633,1743557542.0564866,1.176
634,1743557542.1613042,1.768
635,1743557542.2649841,1.268
636,1743557542.3694491,1.374
637,1743557542.4725142,1.052
638,1743557542.5764992,1.045
639,1743557542.6804502,0.904
640,1743557542.7847533,1.497
641,1743557542.888445,0.981
642,1743557542.991901,0.831
643,1743557543.096167,1.124
644,1743557543.2006836,1.402
645,1743557543.3040328,0.814
646,1743557543.4084332,1.136
647,1743557543.5118186,1.334
648,1743557543.6154387,1.108
649,1743557543.7195902,1.096
650,1743557543.823051,0.89
651,1743557543.9268758,0.905
652,1743557544.0310714,0.935
653,1743557544.1347346,0.866
654,1743557544.2387147,0.916
655,1743557544.3422997,0.829
656,1743557544.446191,0.865
657,1743557544.5496886,0.836
658,1743557544.653489,0.881
659,1743557544.7574542,0.87
660,1743557544.8602514,1.111
661,1743557544.9640584,1.122
662,1743557545.068087,1.192
663,1743557545.1720543,0.868
664,1743557545.2760391,0.94
665,1743557545.3804145,1.282
666,1743557545.481591,1.02
667,1743557545.585607,1.512
668,1743557545.6897242,1.172
669,1743557545.7922292,2.058
670,1743557545.8966177,1.819
671,1743557546.0006855,1.416
672,1743557546.1056294,2.267
673,1743557546.2099578,1.562
674,1743557546.3137977,1.296
675,1743557546.418384,1.667
676,1743557546.5225146,2.359
677,1743557546.6267414,2.374
678,1743557546.7285993,1.43
679,1743557546.8305702,2.017
680,1743557546.9338577,1.221
681,1743557547.0387545,1.896
682,1743557547.1436377,2.479
683,1743557547.2486365,2.422
684,1743557547.3529408,1.652
685,1743557547.4568472,1.322
686,1743557547.5601068,1.877
687,1743557547.6636312,1.652
688,1743557547.7684379,2.041
689,1743557547.87019,1.29
690,1743557547.9740887,1.2
691,1743557548.075921,1.2
692,1743557548.1802988,1.33
693,1743557548.2848105,1.832
694,1743557548.3884974,1.006
695,1743557548.492626,1.453
696,1743557548.5973318,1.701
697,1743557548.7014272,1.579
698,1743557548.805744,1.876
699,1743557548.9098883,1.786
700,1743557549.0136907,1.579
701,1743557549.1175783,1.152
702,1743557549.2228224,1.858
703,1743557549.327552,2.069
704,1743557549.4318979,1.629
705,1743557549.5336866,1.586
706,1743557549.638408,1.82
707,1743557549.7428222,2.005
708,1743557549.8437896,1.077
709,1743557549.9499314,2.414
710,1743557550.054092,2.042
711,1743557550.1583555,1.477
712,1743557550.2629147,1.432
713,1743557550.3669465,1.132
714,1743557550.4718616,1.41
715,1743557550.5741835,1.17
716,1743557550.6761334,1.281
717,1743557550.7802572,2.005
718,1743557550.8829343,2.069
719,1743557550.9872851,1.755
720,1743557551.0912666,1.307
721,1743557551.1954768,1.384
722,1743557551.3002214,1.487
723,1743557551.4036005,0.948
724,1743557551.5076435,0.985
725,1743557551.6117356,1.063
726,1743557551.715809,1.127
727,1743557551.8169496,1.161
728,1743557551.920238,1.193
729,1743557552.0243278,1.238
730,1743557552.1287813,1.273
731,1743557552.2333698,1.624
732,1743557552.3382099,1.871
733,1743557552.4425879,1.231
734,1743557552.5465748,1.148
735,1743557552.6513536,1.354
736,1743557552.755737,1.348
737,1743557552.859467,1.276
738,1743557552.9638495,1.519
739,1743557553.0687728,1.923
740,1743557553.1728413,1.162
741,1743557553.2771888,1.291
742,1743557553.3819716,1.32
743,1743557553.486908,1.941
744,1743557553.5901706,2.752
745,1743557553.6945837,2.144
